sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1
10,966392440.273938,6.26701498,-0.461208999,13.70361186,3.5389291,12.673240777,18.99800065733695,69,-10.491225558054955,0.0634443522504085,-6.391024279460096,0.021461271268105733,-13.1143595113531,0.11179068976164999,-7.262346961842352,0.023698072610356447,-10.241179794656977,0.05276384346408488,-9.427630190834265,0.047371275010634734
11,966393363.9065711,3.93466711,0.544756711,18.563946907000002,14.596330279000002,2.6146975880000003,23.75941131123118,74,-7.628181450956512,0.023409547722325733,-5.99528574778016,0.014993673310963206,-7.506801031617978,0.029858444859953082,-6.057493396719277,0.0158132261923302,-7.4443286004719225,0.038559408092243105,-4.383964826555177,0.011223428745817284
12,966394162.6198736,2.831732988,-0.501958013,10.450345729,14.097056903,10.361205997,20.378697919502052,61,-9.68130195289195,0.0676342040739438,-6.563388835140484,0.023051322614724007,-12.235904891138492,0.06505777499106122,-6.968019870577061,0.023027026039569642,-11.6870162432911,0.0315352785480107,-8.181329536749613,0.03670713796146798
13,966395074.504896,5.884624958,-0.081114583,1.782798394,18.041168905,10.892273422,21.14955710817594,80,-9.280596424102479,0.06668337473085238,-7.528888198836152,0.026785246447714333,-36.71629731749873,0.07479039716819155,-7.442699247778291,0.029649257295653056,-11.059048144330708,0.052929545026274415,-5.580458070161083,0.013508082850164334
14,966395875.5055504,0.764776111,-0.866135478,19.098067563,14.098853150999998,6.324769859,24.566574009895852,91,-7.268395325825122,0.033094466685106516,-5.79650928728997,0.013302030458495708,-7.371702660764544,0.023107012479776052,-5.676022429623125,0.016532761392769258,-6.981800344295012,0.030898627846002148,-4.438958165243971,0.010620671689705125
15,966396701.0882093,2.0953619480000003,0.776272774,13.160610453,17.269102505,13.106278125,25.361350419756114,88,-10.02502946757146,0.09311081774629125,-7.349397769663883,0.02942385871401234,-23.894512447361443,0.11044076070953202,-7.217140685973569,0.02806017122420349,-21.399535234650518,0.10349415313857205,-8.553453050062599,0.05360629446290943
16,966397582.8099912,3.67781496,-0.93659091,11.035521812,9.550726863,13.767016885,20.063147290159456,84,-21.01362268055585,0.10602327780181298,-7.66322079989867,0.025445949703566076,-25.524474783206067,0.04551382110671131,-8.202553053577224,0.030183842548804712,-23.30188823390459,0.04573302393711983,-11.388638626770842,0.04082904072766852
17,966398307.3417128,4.155073166,-0.853335381,7.481623869,4.99358742,19.163472995,21.169537271004934,80,-7.78615743661998,0.024182250839501967,-5.560981055912359,0.011968160975206142,-10.600165959303506,0.03001207491202962,-5.164828641369054,0.012088988517706517,-6.68691679049671,0.023502943428605778,-7.273378951592076,0.013350270589638297
18,966399127.8480319,3.276175022,-0.127407894,9.102937222000001,16.678288693,14.937726095999999,24.169494010298273,74,-9.550321871636445,0.06089430925889251,-7.5251630189517895,0.039574700354076946,-11.60317110949885,0.11430674970150081,-7.040806808503682,0.02801838528397795,-9.80775558798765,0.07148085425912439,-7.84717965883483,0.04253492442945099
19,966399978.5731546,4.594175816,0.1008958,14.960617015999999,14.084044318,7.019326874,21.712929687512815,74,-8.666611079652126,0.026363930832745654,-6.245918400308293,0.021387287626347038,-9.89035530390826,0.03483184675060836,-6.75344735551952,0.025658833318649803,-10.069613612698104,0.04752220411498071,-7.095382875274799,0.023870693378590244
20,966400798.229133,5.027079105,0.045537829,16.403772266,20.17797953,7.352989956,27.024083032749267,87,-8.999561763846053,0.02720294118074599,-6.799781500434033,0.018131651639478448,-10.834814902684169,0.021111494163248284,-6.625804990965421,0.019588754950924714,-10.806744066714081,0.032076425450294294,-7.038843660634727,0.01443102011470783
21,966401595.9413028,1.895926952,-0.27398338899999997,15.307184422999999,16.421569561,5.130333928,23.02820375147144,75,-7.934287905092917,0.0213002032141867,-6.081761281762983,0.020048534408403595,-9.268438721589563,0.019365305363556396,-6.749319444946607,0.02222548064980963,-8.633302036599106,0.04485953868550788,-6.298270105316945,0.01601933004689394
22,966402505.2010216,4.196976185,0.01537717,14.914685526,14.984081453,18.267111985,27.94025629091729,92,-13.980522424078163,0.07277799706655684,-8.405840944964492,0.027663884192551242,-20.615512432696917,0.20779794887895353,-7.893096504816261,0.0324388283507944,-23.71455198918786,0.05499689261518119,-17.19654584599886,0.08113503031323349
23,966403401.6063725,1.381757975,-1.206508994,15.509357937,12.066708755999999,5.359328562,20.36830985760922,70,-8.569191000959137,0.01478997916564812,-5.982621580363297,0.01415589469066421,-8.915408585474463,0.02967917055723115,-6.084021885002624,0.017909731615850487,-8.596899135099545,0.0322306077587232,-4.908342937043898,0.010250925364154718
24,966404135.5558304,1.7955139880000002,-0.608824015,19.842291956,15.542371487999999,1.680477174,25.26075741284241,79,-7.6046324330104,0.026736978539009165,-5.918837906655077,0.019241267309356633,-7.425724371334998,0.027655135310513404,-6.180955894127394,0.01443386541567177,-8.182689402061639,0.027633610840465412,-4.4809730253902815,0.011500782866698273
25,966405069.5770764,3.3930230139999997,0.824247122,20.756746567,16.755128574,10.984683575999998,28.84857249228775,99,-11.496388469802502,0.09027481565481359,-8.090974603960893,0.033450843831819586,-12.345976013251564,0.1789714525036076,-7.90418371825646,0.030194041671619758,-30.385188568552934,0.10969885294209503,-9.207114474183346,0.0598330813979459
26,966405882.8559777,4.48193121,-0.069394477,16.822126473,8.368569435,7.311218089,20.16112108507224,67,-12.15505213487796,0.06380447443356273,-7.439359177101999,0.02238103281178098,-13.77596486203549,0.03928568904109316,-7.699302883600788,0.01763963478820681,-13.390467672771875,0.04861052292516927,-7.659980085644913,0.018492947484562258
27,966406637.3648524,2.011046886,0.917541921,6.069376046,3.536237098,20.366602222,21.54392685817062,81,-9.4385620813834,0.040575966432424365,-6.371986889769524,0.01454026939506482,-13.852005843703106,0.15522680085589355,-6.124927313991937,0.01546576503650305,-9.085486052932598,0.03249391346043426,-8.214517918969644,0.031697698432053396
28,966407642.614747,2.6476430890000002,0.6721826790000001,13.094301454000002,15.083506163,12.837427213,23.74389239755265,84,-9.40297602224619,0.040169814853471555,-6.73818228410308,0.02457277398103967,-19.645393661201474,0.06439296494604423,-6.421544329643477,0.02718514515475062,-15.295789549640203,0.08071458426259955,-8.810300840116437,0.04300881149108002
